,ID,LONG,LAT,ages,race,sex,income,Location,Price_cont,Experience,Other,will_attend,dist,locLong,locLat,Price_cat,Location_1,Location_2,Location_3,Location_4,Location_5,Price_cat_1,Price_cat_2,Price_cat_3,Price_cat_4,Experience_1,Experience_2,Experience_3,Other_1,Other_2,Other_3,Other_4,race_Aisian/Other,race_Black,race_Hispanic,race_White,sex_F,sex_M,income_100-150k,income_25-50k,income_50-75k,income_75-100k,income_<25k,income_>150k
0,34,-78.5739077805308,35.790983234239,48.3483415539844,Black,M,<25k,1,30,3,3,0,29729.962046440418,-78.87813,35.89314,4,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
1,159,-78.65835155149921,35.8036059056125,26.3713834794303,White,F,75-100k,5,20,1,3,0,10237.23960276326,-78.575981,35.86696,2,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0
2,280,-78.6631041777932,35.8199151595929,34.1216026752952,White,F,25-50k,1,15,2,1,0,21053.45465934477,-78.87813,35.89314,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
3,423,-78.5215706792568,35.8919351519447,43.5719502469239,White,M,25-50k,3,15,3,4,1,19286.539936822857,-78.67654,35.7724,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0
4,932,-78.6462934985434,35.8213402129302,36.2409827546418,Hispanic,F,25-50k,4,25,1,4,0,38009.60228313146,-79.05428,35.90535,3,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0
5,1555,-78.606403016337,35.6958309300819,39.0564984427115,Black,F,25-50k,3,25,1,3,0,10603.522318561687,-78.67654,35.7724,3,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
6,1958,-78.5997641249778,35.732793384930204,40.1542366738216,White,M,75-100k,5,30,2,4,1,15040.921492769372,-78.575981,35.86696,4,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
7,2028,-78.58604498473079,35.8497651187663,34.579150898612106,White,M,75-100k,4,25,1,4,0,42730.3546114238,-79.05428,35.90535,3,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
8,2589,-78.6099684547733,35.702659719287894,50.156800607034704,White,M,25-50k,2,20,3,3,1,24540.66122511691,-78.87588000000001,35.74628,2,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0
9,2897,-78.6347052603602,35.7743593125729,44.6052092480688,White,F,25-50k,2,15,1,1,0,22032.199014786984,-78.87588000000001,35.74628,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
