"","Location","Price","Experience","Other","will_attend","ages_bin","distance_bin"
"4904","4","4","1","1",0,"03 > 44.7122","01 <= 32.4247"
"5957","5","3","3","1",0,"02 <= 44.7122","02 > 32.4247"
"5175","4","3","1","4",0,"01 <= 34.9769","01 <= 32.4247"
"6025","5","4","2","4",0,"02 <= 44.7122","01 <= 32.4247"
"3104","3","3","1","3",0,"02 <= 44.7122","02 > 32.4247"
"1131","1","1","2","1",0,"03 > 44.7122","02 > 32.4247"
"2210","2","4","2","2",0,"03 > 44.7122","01 <= 32.4247"
"3461","3","1","3","4",0,"03 > 44.7122","01 <= 32.4247"
"4945","4","4","1","1",0,"02 <= 44.7122","01 <= 32.4247"
"6724","5","1","1","2",0,"02 <= 44.7122","01 <= 32.4247"
"235","1","1","2","1",0,"03 > 44.7122","01 <= 32.4247"
"1035","1","2","1","4",0,"03 > 44.7122","01 <= 32.4247"
"4996","4","2","3","2",0,"02 <= 44.7122","01 <= 32.4247"
"8","1","3","2","2",0,"03 > 44.7122","02 > 32.4247"
"2656","3","3","1","3",0,"02 <= 44.7122","01 <= 32.4247"
"3139","3","1","3","4",1,"02 <= 44.7122","01 <= 32.4247"
"2634","3","1","3","4",0,"03 > 44.7122","01 <= 32.4247"
"2731","3","3","1","3",0,"03 > 44.7122","01 <= 32.4247"
"1215","1","4","3","3",1,"01 <= 34.9769","01 <= 32.4247"
"6456","5","3","3","1",0,"01 <= 34.9769","01 <= 32.4247"
"3078","3","4","1","2",0,"03 > 44.7122","01 <= 32.4247"
"2216","2","2","3","3",0,"03 > 44.7122","01 <= 32.4247"
"6546","5","4","2","4",1,"02 <= 44.7122","01 <= 32.4247"
"4797","4","1","2","3",0,"03 > 44.7122","02 > 32.4247"
"4369","4","1","2","3",0,"02 <= 44.7122","01 <= 32.4247"
"2642","3","1","3","4",0,"01 <= 34.9769","01 <= 32.4247"
"4734","4","4","1","1",0,"01 <= 34.9769","01 <= 32.4247"
"3686","3","2","2","1",0,"01 <= 34.9769","02 > 32.4247"
"1535","2","1","1","1",0,"02 <= 44.7122","01 <= 32.4247"
"3282","3","3","1","3",0,"03 > 44.7122","01 <= 32.4247"
"5371","5","2","1","3",0,"02 <= 44.7122","01 <= 32.4247"
