"","ID","LONG","LAT","ages","race","sex","income","Location","Price","Experience","Other","will_attend"
"1",34,-78.5739077805308,35.790983234239,48.3483415539844,"Black","M","<25k",1,4,3,3,0
"2",159,-78.6583515514992,35.8036059056125,26.3713834794303,"White","F","75-100k",5,2,1,3,0
"3",280,-78.6631041777932,35.8199151595929,34.1216026752952,"White","F","25-50k",1,1,2,1,0
"4",423,-78.5215706792568,35.8919351519447,43.5719502469239,"White","M","25-50k",3,1,3,4,1
"5",932,-78.6462934985434,35.8213402129302,36.2409827546418,"Hispanic","F","25-50k",4,3,1,4,0
"6",1555,-78.606403016337,35.6958309300819,39.0564984427115,"Black","F","25-50k",3,3,1,3,0
"7",1958,-78.5997641249778,35.7327933849302,40.1542366738216,"White","M","75-100k",5,4,2,4,1
"8",2028,-78.5860449847308,35.8497651187663,34.5791508986121,"White","M","75-100k",4,3,1,4,0
"9",2589,-78.6099684547733,35.7026597192879,50.1568006070347,"White","M","25-50k",2,2,3,3,1
"10",2897,-78.6347052603602,35.7743593125729,44.6052092480688,"White","F","25-50k",2,1,1,1,0
"11",2905,-78.5301969507541,35.8928135822774,45.9311998453541,"White","M","100-150k",2,4,2,2,0
"12",2936,-78.6082330677995,35.7306605363294,42.647422202849,"White","F","100-150k",3,2,2,1,0
"13",4008,-78.6338738695601,35.7691424943635,48.2587589056862,"Black","M","25-50k",1,2,1,4,0
"14",4399,-78.6176964126123,35.8495668429689,37.2333061296838,"Black","F","75-100k",4,4,1,1,0
"15",5039,-78.7222809967672,35.6964518158515,45.6472846442427,"White","M","50-75k",4,1,2,3,0
"16",5041,-78.6621687338634,35.7575622027776,27.8827009330795,"White","F","50-75k",5,2,1,3,0
"17",5285,-78.615364527098,35.8335674812062,58.9211269957644,"Black","F","100-150k",2,4,2,2,0
"18",5586,-78.5911030755636,35.9168122019535,36.8519742548197,"White","M","25-50k",1,3,2,2,0
"19",5799,-78.5655891095118,35.6951193980189,41.8399798102316,"White","M","50-75k",2,2,3,3,1
"20",6039,-78.699608009529,35.8927315708135,42.3894493287189,"White","F","50-75k",5,1,1,2,0
"21",6112,-78.5493692599415,35.8083650423772,43.3684406697468,"White","M","50-75k",5,1,1,2,0
"22",6231,-78.6909738232688,35.8450974845457,38.4985345217413,"White","F",">150k",3,3,1,3,0
"23",6738,-78.6147733690786,35.8360459761392,51.5564091706557,"White","M","75-100k",1,4,3,3,0
"24",6742,-78.6279513160688,35.6856377526946,45.8919960309455,"Black","M","25-50k",1,3,2,2,0
"25",6897,-78.6618388166652,35.9075872291482,38.898724330301,"White","M","25-50k",5,4,2,4,0
"26",7036,-78.5418343814487,35.7980435094544,34.167387106551,"White","M","25-50k",4,3,1,4,0
"27",7392,-78.5223468323522,35.8486752428511,29.5077241008812,"White","M","25-50k",1,2,1,4,0
"28",7446,-78.5496848717645,35.9148666278201,53.3351730450298,"Hispanic","F","75-100k",2,1,1,1,0
"29",7740,-78.6679684688043,35.8689900266998,43.3152935156019,"White","F","<25k",5,2,1,3,0
"30",8109,-78.6240187043254,35.7618191505405,39.3227899677863,"Black","F","75-100k",2,2,3,3,1
"31",8159,-78.6335818284347,35.7500272177349,36.4012642164883,"Black","M","100-150k",3,2,2,1,0
"32",8758,-78.6074680857349,35.7200367879462,50.9411796533628,"White","M","<25k",3,3,1,3,0
"33",9062,-78.6427270215673,35.6542886398516,37.2055912117003,"White","M","75-100k",1,4,3,3,0
"34",9691,-78.7029768276642,35.8056691729255,34.0963205676123,"White","F","75-100k",4,2,3,2,0
"35",9780,-78.6452074847574,35.7407502806239,32.3952144315984,"White","M",">150k",4,4,1,1,0
"36",10371,-78.6426357396587,35.7407571131111,36.0154541540094,"White","F","75-100k",2,2,3,3,0
"37",10374,-78.6593604079345,35.8125736751548,43.1342609273379,"Black","F","75-100k",4,3,1,4,0
"38",10517,-78.6350983524904,35.8001142251475,51.4671823396355,"White","F","75-100k",2,2,3,3,0
"39",11392,-78.7206097949404,35.9996537190772,29.5776980717725,"White","F",">150k",3,1,3,4,1
"40",11518,-78.684969765947,35.8962214006114,33.796487075415,"White","M","25-50k",1,3,2,2,0
"41",11639,-78.7766254279775,35.5920038254753,45.3179638764656,"White","M","75-100k",1,1,2,1,0
"42",11791,-78.5693205509462,35.7679207770951,35.0093142518452,"White","F","75-100k",3,4,1,2,0
"43",12202,-78.6251252884508,35.7230162424114,51.9041736494733,"White","F","75-100k",1,2,1,4,0
"44",12212,-78.6242780309242,35.8651038801991,48.4792476822747,"Black","F","75-100k",3,2,2,1,0
"45",12303,-78.5928964365856,35.7039892550731,33.2296148702534,"White","M","50-75k",3,1,3,4,0
"46",12345,-78.6851891952782,35.6685298525657,40.0333716314165,"White","F","75-100k",5,1,1,2,0
"47",12604,-78.733234228829,35.7583697825645,39.0040280156944,"Black","F","50-75k",1,3,2,2,0
"48",12612,-78.5576288345106,35.7660970534416,42.9584179188461,"Hispanic","M","50-75k",3,4,1,2,0
"49",12683,-78.5503848333883,35.7156493488826,38.5721649135739,"White","M","50-75k",5,4,2,4,0
"50",13094,-78.6555373955,35.8412372642571,28.8388684984912,"Hispanic","F","75-100k",1,1,2,1,0
"51",13128,-78.5573814051844,35.6900018797865,53.5233778712148,"White","M","50-75k",3,2,2,1,0
"52",13474,-78.7614712999535,35.7384165662361,28.019281813143,"Black","F","50-75k",3,3,1,3,0
